race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
La Vuelta,20,classification_2,90,M. CAMPRUBI PIJUAN,marcel-camprubi-pijuan,https://www.lavuelta.es/en/rider/118/q36-5-pro-cycling-team/marcel-camprubi-pijuan,118,Q36.5 PRO CYCLING TEAM,,,04h 21' 21'',+ 00h 24' 58'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,91,D. VAN BAARLE,dylan-van-baarle,https://www.lavuelta.es/en/rider/18/team-visma-lease-a-bike/dylan-van-baarle,18,TEAM VISMA | LEASE A BIKE,,,04h 22' 25'',+ 00h 26' 02'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,92,M. VANSEVENANT,mauri-vansevenant,https://www.lavuelta.es/en/rider/56/soudal-quick-step/mauri-vansevenant,56,SOUDAL QUICK-STEP,,,04h 22' 25'',+ 00h 26' 02'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,93,L. FORTUNATO,lorenzo-fortunato,https://www.lavuelta.es/en/rider/123/xds-astana-team/lorenzo-fortunato,123,XDS ASTANA TEAM,,,04h 23' 08'',+ 00h 26' 45'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,94,J. STAUNE-MITTET,johannes-staune-mittet,https://www.lavuelta.es/en/rider/98/decathlon-ag2r-la-mondiale-team/johannes-staune-mittet,98,DECATHLON AG2R LA MONDIALE TEAM,,,04h 23' 29'',+ 00h 27' 06'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,95,S. DE PESTEL,sander-de-pestel,https://www.lavuelta.es/en/rider/94/decathlon-ag2r-la-mondiale-team/sander-de-pestel,94,DECATHLON AG2R LA MONDIALE TEAM,,,04h 23' 29'',+ 00h 27' 06'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,96,A. SEGAERT,alec-segaert,https://www.lavuelta.es/en/rider/204/lotto/alec-segaert,204,LOTTO,,,04h 23' 46'',+ 00h 27' 23'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,97,L. NERURKAR,lukas-nerurkar,https://www.lavuelta.es/en/rider/84/ef-education-easypost/lukas-nerurkar,84,EF EDUCATION - EASYPOST,,,04h 24' 15'',+ 00h 27' 52'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,98,S. QUINN,sean-quinn,https://www.lavuelta.es/en/rider/85/ef-education-easypost/sean-quinn,85,EF EDUCATION - EASYPOST,,,04h 24' 15'',+ 00h 27' 52'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,99,N. PETERS,nans-peters,https://www.lavuelta.es/en/rider/96/decathlon-ag2r-la-mondiale-team/nans-peters,96,DECATHLON AG2R LA MONDIALE TEAM,,,04h 24' 38'',+ 00h 28' 15'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,100,T. GRUEL,thibaud-gruel,https://www.lavuelta.es/en/rider/134/groupama-fdj/thibaud-gruel,134,GROUPAMA-FDJ,,,04h 24' 38'',+ 00h 28' 15'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,101,L. VAN BOVEN,luca-van-boven,https://www.lavuelta.es/en/rider/188/intermarche-wanty/luca-van-boven,188,INTERMARCHÉ - WANTY,,,04h 24' 38'',+ 00h 28' 15'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,102,B. TURNER,ben-turner,https://www.lavuelta.es/en/rider/68/ineos-grenadiers/ben-turner,68,INEOS GRENADIERS,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,103,M. KWIATKOWSKI,michal-kwiatkowski,https://www.lavuelta.es/en/rider/65/ineos-grenadiers/michal-kwiatkowski,65,INEOS GRENADIERS,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,104,M. SHEFFIELD,magnus-sheffield,https://www.lavuelta.es/en/rider/61/ineos-grenadiers/magnus-sheffield,61,INEOS GRENADIERS,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,105,V. LANGELLOTTI,victor-langellotti,https://www.lavuelta.es/en/rider/66/ineos-grenadiers/victor-langellotti,66,INEOS GRENADIERS,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,106,B. ROLLAND,brieuc-rolland,https://www.lavuelta.es/en/rider/137/groupama-fdj/brieuc-rolland,137,GROUPAMA-FDJ,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,107,J. HAIG,jack-haig,https://www.lavuelta.es/en/rider/105/bahrain-victorious/jack-haig,105,BAHRAIN VICTORIOUS,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,108,D. DE POOTER,dries-de-pooter,https://www.lavuelta.es/en/rider/183/intermarche-wanty/dries-de-pooter,183,INTERMARCHÉ - WANTY,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,109,D. SMITH,dion-allan-smith,https://www.lavuelta.es/en/rider/187/intermarche-wanty/dion-allan-smith,187,INTERMARCHÉ - WANTY,,,04h 24' 45'',+ 00h 28' 22'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,110,P-A. CÔTÉ,pier-andre-cote,https://www.lavuelta.es/en/rider/222/israel-premier-tech/pier-andre-cote,222,ISRAEL - PREMIER TECH,,,04h 24' 56'',+ 00h 28' 33'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,111,N. BURATTI,nicolo-buratti,https://www.lavuelta.es/en/rider/103/bahrain-victorious/nicolo-buratti,103,BAHRAIN VICTORIOUS,,,04h 25' 05'',+ 00h 28' 42'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,112,F. GANNA,filippo-ganna,https://www.lavuelta.es/en/rider/63/ineos-grenadiers/filippo-ganna,63,INEOS GRENADIERS,,,04h 25' 09'',+ 00h 28' 46'',-,-,https://www.lavuelta.es/en/rankings/stage-20
La Vuelta,20,classification_2,113,M. SOBRERO,matteo-sobrero,https://www.lavuelta.es/en/rider/46/red-bull-bora-hansgrohe/matteo-sobrero,46,RED BULL - BORA - HANSGROHE,,,04h 25' 09'',+ 00h 28' 46'',-,-,https://www.lavuelta.es/en/rankings/stage-20
